X,Y,Z,score
Guatemala,Hyena,26,0.23
Massachusetts,Coyote,20,0.63
Tanzania,Columbidae,42,0.24
CZECH_REPUBLIC,Black_panther,12,0.97
Maine,Crow,48,0.09
DOMINICAN_REPUBLIC,Gazelle,8,0.925
Maryland,Hamster,51,0.24
CZECH_REPUBLIC,Dolphin,54,0.03
Barbados,Wombat,17,0.335
Ireland,Cobra,59,0.945
Tunisia,Gorilla,3,0.725
Wyoming,Human,48,0.13
Australia,Flamingo,40,0.31
Maine,Human,4,0.76
Hawaii,Moose,41,0.055
Switzerland,Flamingo,40,0.91
Samoa,Partridge,11,0.79
Serbia,Heron,43,0.25
Zambia,Lion,53,0.85
Mozambique,Wren,31,0.95
Singapore,Rhinoceros,54,0.79
Alabama,Otter,46,0.9
Turkey,Goose,30,0.615
Georgia,Dolphin,44,0.765
Vatican_City,Gerbil,37,0.95
Louisiana,Otter,22,0.955
Oregon,Hyena,38,0.615
Texas,Nightingale,40,0.7
Monaco,Heron,24,0.59
Colombia,Skunk,30,0.56
New_Mexico,Quail,56,0.305
Serbia,Zebra,57,0.415
Serbia,Dolphin,29,0.565
North_Carolina,Pelican,5,0.37
Japan,Coyote,47,0.48
Malaysia,Manatee,41,0.41
Alaska,Crow,20,0.315
DOMINICAN_REPUBLIC,Goose,14,0.66
Kiribati,Manatee,6,0.53
Serbia,Magpie,51,0.27
Georgia,Badger,14,0.895
Nauru,Goldfinch,35,0.9
New_Mexico,Gorilla,12,0.18
Florida,Manatee,25,0.455
Zimbabwe,Heron,39,0.205
Wyoming,Partridge,25,0.61
Florida,Dolphin,7,0.02
California,Giant_Panda,23,0.435
Tunisia,Camel,12,0.97
Nigeria,Otter,34,0.375
Barbados,Alligator,45,0.245
Washington,Baboon,19,0.875
CZECH_REPUBLIC,Heron,48,0.515
Maine,Giant_Panda,13,0.94
Zambia,Dolphin,55,0.58
France,Fox,59,0.95
Ethiopia,Heron,6,0.91
Wyoming,Gazelle,22,0.31
Romania,Gerbil,44,0.53
TRINIDAD_AND_TOBAGO,Wombat,29,0.115
NEW_ZEALAND,Wren,2,0.47
Luxembourg,Magpie,40,0.91
Malaysia,Camel,26,0.5
CZECH_REPUBLIC,Hornet,14,0.945
Australia,Skunk,16,0.63
Tunisia,Cobra,19,0.87
Nebraska,Cobra,31,0.995
Tuvalu,Skunk,33,0.025
Tuvalu,Reindeer,6,0.285
TRINIDAD_AND_TOBAGO,Skunk,1,0.485
Samoa,Wombat,11,0.375
Pennsylvania,Goldfinch,10,0.485
Ireland,Goose,18,0.925
Florida,Mule,11,0.07
WESTERN_SAHARA,Manatee,39,0.445
CZECH_REPUBLIC,Swallow,4,0.755
Mississippi,Jaguar,42,0.545
Colombia,Moose,34,0.555
Pennsylvania,Crow,42,0.97
Serbia,Snipe,39,0.91
Serbia,Baboon,58,0.345
Samoa,Mouse,18,0.43
California,Moose,49,0.58
Greece,Dolphin,44,0.185
New_Jersey,Hamster,0,0.155
Illinois,Badger,25,0.305
Tanzania,Bison,59,0.615
Tonga,Jackal,19,0.985
Florida,Jackal,52,0.44
Vatican_City,Nightingale,53,0.48
France,Goldfinch,49,0.98
Jordan,Sheep,51,0.2
Hawaii,Lion,53,0.005
North_Carolina,Ostrich,32,0.545
Greece,Camel,44,0.69
Rhode_Island,Raven,15,0.21
Tonga,Hyena,29,0.675
Jordan,Heron,53,0.57
Sweden,Black_panther,20,0.525
Virginia,Camel,49,0.205
Malta,Donkey,27,0.605
Illinois,Goose,20,0.185
Colombia,Giraffe,38,0.65
Ethiopia,Swallow,39,0.375
Croatia,Gorilla,59,0.885
Greece,Moose,52,0.135
Uganda,Manatee,42,0.795
Thailand,Skunk,36,0.405
Romania,Mallard,22,0.465
Florida,Chamois,15,0.795
Maine,Bison,17,0.43
Finland,Cobra,59,0.375
MARSHALL_ISLANDS,Badger,50,0.64
France,Lion,39,0.275
New_Jersey,Snipe,49,0.465
Vatican_City,Gazelle,38,0.685
CZECH_REPUBLIC,Louse,12,0.285
New_Mexico,Gerbil,59,0.01
Missouri,Moose,57,0.935
Australia,Cheetah,32,0.36
Morocco,Columbidae,10,0.705
Ethiopia,Giraffe,56,0.765
WESTERN_SAHARA,Donkey,9,0.48
Japan,Badger,25,0.7
Romania,Coyote,57,0.33
Louisiana,Reindeer,22,0.885
Minnesota,Black_panther,5,0.455
Nebraska,Chamois,19,0.505
Greece,Raven,27,0.015
Tanzania,Ostrich,49,0.395
EL_SALVADOR,Peafowl,42,0.245
Missouri,Wombat,46,0.94
Louisiana,Raven,12,0.92
EQUATORIAL_GUINEA,Beaver,37,0.515
Nauru,Dolphin,52,0.84
Uruguay,Fox,50,0.03
Thailand,Flamingo,2,0.97
Maryland,Hornet,4,0.61
Denmark,Bison,46,0.5
Finland,Peafowl,48,0.755
Florida,Nightingale,57,0.905
Australia,Giraffe,53,0.665
Ghana,Nightingale,25,0.39
Maine,Rhinoceros,31,0.35
Netherlands,Chamois,27,0.525
Canada,Cheetah,19,0.36
EQUATORIAL_GUINEA,Ostrich,2,0.315
Thailand,Camel,39,0.715
Uruguay,Coyote,14,0.755
Taiwan,Lion,17,0.835
Ecuador,Flamingo,4,0.4
Maine,Jaguar,31,0.39
Georgia,Raven,18,0.895
South_Carolina,Skunk,56,0.735
Nauru,Heron,22,0.74
Zambia,Rhinoceros,35,0.14
Ghana,Rhinoceros,58,0.655
Cyprus,Wren,15,0.835
Hawaii,Flamingo,3,0.5
Nigeria,Quail,12,0.62
Zimbabwe,Ostrich,18,0.435
Louisiana,Human,23,0.915
Slovakia,Fish,9,0.285
Monaco,Mallard,31,0.955
Michigan,Flamingo,37,0.06
Nigeria,Goose,2,0.88
Lithuania,Magpie,3,0.085
Alabama,Gerbil,58,0.59
Mississippi,Moose,52,0.245
Latvia,Hamster,30,0.24
WESTERN_SAHARA,Baboon,8,0.575
Ecuador,Zebra,0,0.585
Vatican_City,Swallow,21,0.38
Zambia,Magpie,23,0.915
Alaska,Magpie,7,0.22
NEW_ZEALAND,Giant_Panda,35,0.74
Washington,Pelican,57,0.005
Slovenia,Alligator,24,0.785
Madagascar,Sheep,7,0.735
France,Cobra,51,0.945
DOMINICAN_REPUBLIC,Gazelle,31,0.365
Michigan,Otter,2,0.13
Washington,Hyena,29,0.08
Minnesota,Columbidae,1,0.55
Switzerland,Bison,51,0.315
Missouri,Pinniped,10,0.875
Canada,Goose,27,0.445
Croatia,Lion,34,0.945
Thailand,Swallow,57,0.45
Tanzania,Giraffe,53,0.245
Netherlands,Zebra,49,0.065
Dominica,Ram,2,0.36
Michigan,Giraffe,56,0.49
Massachusetts,Wombat,33,0.45
Saudi_Arabia,Mouse,13,0.69
North_Carolina,Peafowl,24,0.73
Ghana,Goose,42,0.75
Ghana,Gazelle,10,0.435
Grenada,Crow,51,0.415
Finland,Pelican,42,0.575
Tennessee,Giraffe,0,0.19
Maryland,Coyote,39,0.56
Uganda,Pelican,18,0.36
Sweden,Camel,16,0.985
Croatia,Bison,45,0.68
Barbados,Fox,18,0.905
Wisconsin,Donkey,48,0.81
Rhode_Island,Beaver,42,0.995
Wisconsin,Gerbil,54,0.705
EL_SALVADOR,Ostrich,58,0.385
Guatemala,Mallard,35,0.745
Lithuania,Hyena,7,0.31
NEW_ZEALAND,Swallow,5,0.875
Tanzania,Otter,15,0.66
Italy,Moose,27,0.43
EL_SALVADOR,Magpie,45,0.54
Malawi,Beaver,0,0.955
New_Jersey,Pinniped,50,0.2
Nauru,Hyena,34,0.66
Maryland,Lion,48,0.17
Greece,Cheetah,57,0.555
Uruguay,Beaver,43,0.15
Ghana,Coyote,6,0.725
Romania,Pelican,39,0.08
Morocco,Mallard,8,0.355
CZECH_REPUBLIC,Chamois,30,0.45
Slovakia,Quail,29,0.635
California,Hyena,2,0.655
Washington,Gazelle,14,0.5
Tunisia,Baboon,57,0.68
Nepal,Raven,59,0.805
Tanzania,Cobra,2,0.77
WESTERN_SAHARA,Sheep,50,0.25
Monaco,Mallard,40,0.375
Samoa,Jackal,59,0.44
Texas,Quail,13,1
Morocco,Goose,0,0.395
Georgia,Alligator,58,0.18
Virginia,Nightingale,2,0.61
South_Carolina,Skunk,6,0.025
Ireland,Goose,38,0.59
Sweden,Flamingo,45,0.37
NEW_ZEALAND,Badger,23,0.64
Zimbabwe,Mouse,45,0.22
Rhode_Island,Zebra,10,0.51
Uzbekistan,Black_panther,34,0.01
Samoa,Mallard,45,0.21
Latvia,Crow,7,0.115
Greece,Quail,34,0.76
Vatican_City,Moose,0,0.19
Minnesota,Hyena,50,0.4
Slovakia,Goose,4,0.86
Nepal,Otter,42,0.07
Sudan,Coyote,58,0.4
Massachusetts,Moose,22,0.4
DOMINICAN_REPUBLIC,Hyena,53,0.745
Serbia,Cormorant,58,0.26
Italy,Gazelle,44,0.21
Uruguay,Jaguar,56,0.005
Minnesota,Hyena,3,0.875
Nigeria,Donkey,21,0.49
Washington,Beaver,42,0.295
Ukraine,Human,17,0.43
Switzerland,Skunk,21,0.945
CZECH_REPUBLIC,Beaver,38,0.425
Washington,Gazelle,31,0.13
Grenada,Cormorant,14,0.36
South_Carolina,Hornet,27,0.67
Washington,Hyena,44,0.215
Maryland,Pinniped,46,0.935
TRINIDAD_AND_TOBAGO,Fox,17,0.97
Canada,Louse,28,0.35
Denmark,Otter,59,0.77
Uganda,Cormorant,36,0.915
Michigan,Rhinoceros,5,0.995
NEW_ZEALAND,Reindeer,19,0.205
CZECH_REPUBLIC,Gazelle,33,0.39
Sweden,Pinniped,21,0.17
Monaco,Wren,8,0.94
Ghana,Goldfinch,50,0.65
Virginia,Black_panther,46,0.41
Namibia,Wren,25,0.61
Saudi_Arabia,Chamois,1,0.41
Uzbekistan,Rhinoceros,40,0.78
Denmark,Jaguar,9,0.4
Rhode_Island,Fox,38,0.965
Wisconsin,Raven,54,0.525
Zambia,Baboon,5,0.625
Japan,Pinniped,35,0.575
Japan,Camel,50,0.44
Pennsylvania,Goldfinch,28,0.165
Florida,Gazelle,51,0.36
Slovenia,Rhinoceros,42,0.65
Ghana,Moose,50,0.3
Zambia,Columbidae,58,0.92
EQUATORIAL_GUINEA,Jaguar,52,0.535
Ecuador,Columbidae,8,0.225
DOMINICAN_REPUBLIC,Swallow,57,0.245
Namibia,Cormorant,54,0.725
Serbia,Flamingo,52,0.69
Missouri,Lion,10,0.15
Thailand,Goose,43,0.42
Minnesota,Lion,24,0.305
Cyprus,Coyote,31,0.4
Ireland,Cheetah,30,0.73
Ghana,Swallow,42,0.275
WESTERN_SAHARA,Flamingo,20,0.225
Rhode_Island,Alligator,3,0.48
Michigan,Wren,10,0.03
Wyoming,Zebra,5,0.625
California,Moose,35,0.245
Finland,Moose,27,0.365
Croatia,Rhinoceros,7,0.8
Alabama,Gerbil,5,0.305
New_Jersey,Snipe,28,0.29
South_Carolina,Raven,2,0.99
Singapore,Goldfinch,43,0.35
Guatemala,Wren,26,0.845
Malawi,Cobra,17,0.57
Nauru,Partridge,10,0.1
Hawaii,Ram,3,0.77
Luxembourg,Baboon,27,0.63
Singapore,Swallow,56,0.6
Kiribati,Hamster,34,0.645
CZECH_REPUBLIC,Coyote,25,0.585
Illinois,Reindeer,27,0.585
MARSHALL_ISLANDS,Crow,12,0.695
Italy,Bison,17,0.865
TRINIDAD_AND_TOBAGO,Beaver,21,0.68
Minnesota,Swallow,15,0.62
Nepal,Gerbil,41,0.175
Missouri,Ostrich,46,0.685
Morocco,Reindeer,27,0.135
Colombia,Mouse,7,0.435
Jordan,Jackal,3,0.755
Grenada,Baboon,19,0.27
EQUATORIAL_GUINEA,Wombat,49,0.86
Lithuania,Badger,16,0.26
Ecuador,Goose,5,0.145
Ethiopia,Coyote,27,0.01
Nauru,Fish,52,0.29
Madagascar,Fish,49,0.94
Ghana,Sheep,29,0
Canada,Gazelle,21,0.695
Maryland,Hamster,20,0.66
MARSHALL_ISLANDS,Badger,22,0.87
Malaysia,Nightingale,56,0.79
Cyprus,Lion,15,0.975
Pennsylvania,Camel,10,0.88
Maryland,Ram,25,0.435
Florida,Gazelle,15,0.29
Slovakia,Pinniped,40,0.13
Tuvalu,Goldfinch,4,0.065
Grenada,Hyena,1,0.005
NEW_ZEALAND,Baboon,12,0.135
North_Carolina,Lion,31,0.705
NEW_ZEALAND,Louse,10,0.355
Tunisia,Peafowl,43,0.255
New_Mexico,Bison,41,0.245
Japan,Donkey,59,0.755
Mississippi,Hornet,28,0.46
Colombia,Baboon,22,0.08
Denmark,Heron,2,0.71
Slovakia,Mallard,15,0.855
Nigeria,Camel,26,0.92
Colombia,Pelican,52,0.39
Cyprus,Columbidae,20,0.06
Thailand,Sheep,58,0.14
Mozambique,Quail,46,0.51
Malawi,Hornet,21,0.99
Tennessee,Pinniped,22,0.76
Malaysia,Bison,12,0.645
Washington,Mule,27,0.465
Netherlands,Coyote,22,0.955
Washington,Pelican,47,0.535
California,Otter,21,0.915
MARSHALL_ISLANDS,Quail,1,0.69
Thailand,Magpie,28,0.215
Turkey,Hornet,42,0.52
Uruguay,Mule,11,0.075
Serbia,Goose,41,0.815
Washington,Chamois,53,0.37
Jordan,Zebra,45,0.4
Ghana,Mouse,46,0.645
Cyprus,Black_panther,44,0.98
Romania,Wombat,28,0.225
Vatican_City,Pelican,47,0.45
Tanzania,Jackal,37,0.835
Florida,Jackal,54,0.72
Ethiopia,Dolphin,52,0.27
Oregon,Baboon,33,0.955
Zimbabwe,Jackal,39,0.195
Uganda,Lion,42,0.78
Jordan,Wren,56,0.725
Grenada,Goldfinch,8,0.145
Nebraska,Giraffe,50,0.395
Italy,Giraffe,3,0.685
Uruguay,Pelican,54,0.43
Tanzania,Alligator,44,0.375
Massachusetts,Wren,21,0.35
Georgia,Baboon,47,0.615
New_Mexico,Mouse,53,0.12
Ethiopia,Pelican,55,0.105
Croatia,Giraffe,5,0.355
Mississippi,Human,37,0.795
Ethiopia,Reindeer,10,0.775
New_Mexico,Flamingo,29,0.675
Nauru,Manatee,12,0.25
Ukraine,Human,5,0.865
NEW_ZEALAND,Louse,54,0.9
COSTA_RICA,Skunk,55,0.64
Taiwan,Human,16,0.645
Mississippi,Swallow,29,0.56
Louisiana,Manatee,19,0.29
Tonga,Moose,51,0.39
Massachusetts,Cobra,0,0.465
Lithuania,Snipe,48,0.655
California,Black_panther,19,0.185
Tennessee,Badger,35,0.425
Malaysia,Reindeer,50,0.61
Malaysia,Heron,50,0.72
Ukraine,Badger,58,0.235
Luxembourg,Cheetah,47,0.86
Uganda,Pelican,22,0.71
Vatican_City,Baboon,14,0.185
Vatican_City,Crow,23,0.055
Singapore,Goldfinch,38,0.945
Alabama,Wren,32,0.79
Wyoming,Louse,42,0.43
TRINIDAD_AND_TOBAGO,Zebra,17,0.165
Florida,Jaguar,35,0.26
COSTA_RICA,Giant_Panda,15,0.16
Serbia,Alligator,28,0.82
DOMINICAN_REPUBLIC,Nightingale,1,0.8
Switzerland,Peafowl,37,0.63
New_Mexico,Columbidae,22,0.78
Tunisia,Sheep,54,0.015
EL_SALVADOR,Pelican,37,0.675
Maryland,Gerbil,56,0.01
Virginia,Badger,39,0.255
MARSHALL_ISLANDS,Magpie,22,0.94
Turkey,Mallard,46,0.855
Denmark,Otter,39,0.565
Maryland,Mule,13,0.71
MARSHALL_ISLANDS,Moose,46,0.985
Slovakia,Peafowl,23,0.885
Switzerland,Cormorant,2,0.31
New_Mexico,Otter,10,0.235
Thailand,Ram,32,0.035
Canada,Moose,56,0.9
Luxembourg,Columbidae,38,0.285
Nebraska,Baboon,52,0.175
Zambia,Ram,42,0.65
Lithuania,Camel,15,0.98
Spain,Lion,13,0.075
Georgia,Dolphin,21,0.365
Virginia,Alligator,15,0.955
Tennessee,Otter,39,0.425
Rhode_Island,Badger,26,0.04
Grenada,Otter,2,0.2
Mississippi,Gorilla,59,0.435
Japan,Goose,28,0.475
Switzerland,Peafowl,17,0.01
Nepal,Louse,54,0.55
Georgia,Heron,9,0.55
Pennsylvania,Human,57,0.435
Massachusetts,Mule,49,0.99
Louisiana,Mule,3,0.545
Netherlands,Camel,22,0.475
Zambia,Badger,47,0.465
Madagascar,Ostrich,42,0.795
Mississippi,Sheep,12,0.82
Japan,Giant_Panda,22,0.46
Arizona,Pinniped,47,0.095
Singapore,Giraffe,35,0.56
Maryland,Gazelle,24,0.575
Denmark,Louse,5,0.555
Nauru,Hamster,1,0.305
Uruguay,Ostrich,14,0.19
Japan,Reindeer,56,0.635
Georgia,Pinniped,34,0.705
Malawi,Fox,7,0.045
Colombia,Giant_Panda,18,0.875
Colombia,Louse,44,0.89
Dominica,Raven,2,0.63
EL_SALVADOR,Sheep,55,0.125
Alabama,Mallard,59,0.225
Ecuador,Otter,54,0.335
Latvia,Swallow,31,0.76
Luxembourg,Reindeer,0,0.115
Nauru,Jackal,54,0.075
Australia,Alligator,8,0.37
EQUATORIAL_GUINEA,Zebra,24,0.195
Croatia,Hornet,31,0.99
Italy,Mouse,16,0.545
Arizona,Fox,39,0.435
Guatemala,Fish,0,0.14
Nebraska,Crow,35,0.675
Malta,Skunk,22,0.645
Canada,Giant_Panda,9,0.03
Illinois,Otter,18,0.815
Serbia,Baboon,15,0.825
Greece,Rhinoceros,57,0.67
Latvia,Hamster,42,0.265
DOMINICAN_REPUBLIC,Sheep,1,0.685
CZECH_REPUBLIC,Giraffe,51,0.775
DOMINICAN_REPUBLIC,Donkey,28,0.55
Alabama,Flamingo,17,0.63
Japan,Dolphin,24,0.055
Michigan,Giraffe,16,0.84
Missouri,Magpie,2,0.59
Tunisia,Crow,0,0.255
TRINIDAD_AND_TOBAGO,Snipe,6,0.525
Malaysia,Chamois,58,0.39
Malta,Heron,15,0.875
Greece,Hyena,6,0.19
Netherlands,Swallow,59,0.705
Serbia,Goldfinch,11,0.42
Guatemala,Zebra,36,0.075
Kiribati,Skunk,14,0.065
Italy,Lion,19,0.32
Georgia,Jackal,3,0.93
Latvia,Cormorant,56,0.725
Barbados,Dolphin,3,0.82
Spain,Mouse,35,0.37
Alaska,Louse,39,0.625
Nepal,Mule,45,0.745
TRINIDAD_AND_TOBAGO,Cormorant,55,0.67
Rhode_Island,Snipe,55,0.8
Michigan,Fox,17,0.445
Louisiana,Coyote,28,0.21
Jordan,Manatee,41,0.39
Zambia,Jackal,53,0.92
Zambia,Hornet,25,0.71
Arizona,Cormorant,6,0.23
Maryland,Skunk,56,0.45
Spain,Beaver,2,0.385
South_Carolina,Chamois,25,0.975
NEW_ZEALAND,Human,46,0.79
Canada,Human,45,0.66
Missouri,Louse,16,0.145
France,Flamingo,24,0.035
Morocco,Peafowl,18,0.62
DOMINICAN_REPUBLIC,Chamois,2,0.215
Ukraine,Snipe,47,0.275
Romania,Manatee,43,0.99
Tunisia,Chamois,48,0.565
Australia,Magpie,35,0.35
Guatemala,Partridge,22,0.455
Uruguay,Snipe,12,0.295
Italy,Quail,9,0.15
Zambia,Quail,41,0.065
TRINIDAD_AND_TOBAGO,Zebra,4,0.79
Florida,Peafowl,0,0.42
Taiwan,Rhinoceros,47,0.605
Dominica,Gazelle,42,0.89
Colombia,Manatee,50,0.065
Rhode_Island,Fox,24,0.53
Tanzania,Crow,50,0.7
Madagascar,Flamingo,6,0.545
Sweden,Snipe,32,0.505
Tennessee,Nightingale,2,0.755
Taiwan,Cheetah,19,0.375
DOMINICAN_REPUBLIC,Mule,33,0.455
California,Skunk,31,0.585
