X,Y,Z,score
Mozambique,Mallard,9,0.125
Alabama,Ostrich,55,0.375
Saudi_Arabia,Lion,36,0.895
New_Mexico,Mule,21,0.29
Missouri,Hamster,0,0.88
Vatican_City,Magpie,54,0.14
Mozambique,Gazelle,24,0.045
Arizona,Zebra,55,0.875
Sweden,Moose,10,0.275
DOMINICAN_REPUBLIC,Baboon,30,0.69
Ethiopia,Mouse,36,0.185
Washington,Manatee,0,0.4
Greece,Gerbil,41,0.71
Illinois,Cobra,19,0.08
Texas,Flamingo,25,0.025
Hawaii,Manatee,58,0.845
Kiribati,Wren,52,0.41
NEW_ZEALAND,Lion,5,0.71
Georgia,Otter,52,0.905
Wisconsin,Sheep,45,0.16
Kiribati,Lion,0,0.98
Nepal,Alligator,12,0.31
Lithuania,Goose,4,0.755
Nigeria,Swallow,39,0
Alabama,Donkey,2,0.65
Malta,Moose,47,0.805
Grenada,Heron,14,0.745
South_Carolina,Heron,57,0.67
Washington,Jackal,53,0.155
California,Moose,4,0.92
Kiribati,Giraffe,53,0.99
Florida,Alligator,46,0.62
Ecuador,Magpie,17,0.3
Georgia,Human,48,0.105
Ecuador,Ostrich,21,0.265
Japan,Rhinoceros,19,0.765
Maryland,Coyote,16,0.57
Malawi,Gorilla,10,0.59
Uzbekistan,Pinniped,23,0.64
Wyoming,Manatee,51,0.31
Missouri,Lion,50,0.375
Australia,Human,41,0.92
WESTERN_SAHARA,Ram,12,0.725
Serbia,Magpie,31,0.95
Saudi_Arabia,Otter,33,0.44
Grenada,Sheep,55,0.9
Vatican_City,Raven,29,0.87
Dominica,Cheetah,15,0.685
Taiwan,Raven,4,0.32
Nepal,Chamois,30,0.58
Oregon,Louse,44,0.05
Tanzania,Louse,54,0.165
Nigeria,Peafowl,49,0.01
Tuvalu,Sheep,27,0.175
Australia,Pinniped,2,0.74
Mississippi,Mouse,11,0.075
Croatia,Hyena,15,0.345
TRINIDAD_AND_TOBAGO,Hornet,6,0.655
Nebraska,Heron,11,0.875
Jordan,Hamster,42,0.57
Georgia,Goose,58,0.095
Kiribati,Louse,28,0.53
Massachusetts,Alligator,40,0.605
Malta,Heron,35,0.275
Zambia,Black_panther,2,0.42
Alabama,Coyote,53,0.02
Hawaii,Nightingale,33,0.62
Sweden,Jackal,33,0.03
Oregon,Pelican,2,0.12
Illinois,Otter,18,0.695
Saudi_Arabia,Columbidae,30,0.875
Italy,Goose,42,0.2
Dominica,Hornet,40,0.455
Singapore,Baboon,11,0.02
NEW_ZEALAND,Gorilla,13,0.12
Ethiopia,Giant_Panda,46,0.685
Grenada,Dolphin,45,0.15
Finland,Hamster,55,0.845
Uruguay,Gazelle,10,0.17
Switzerland,Fish,36,0.635
Romania,Ostrich,37,0.91
Ireland,Cobra,14,0.075
Oregon,Louse,38,0.415
Madagascar,Hornet,51,0.005
Italy,Moose,49,0.95
Latvia,Mouse,48,0.42
Latvia,Bison,54,0.175
Virginia,Gorilla,8,0.02
Illinois,Human,43,0.25
Thailand,Hamster,55,0.49
Samoa,Partridge,15,0.715
Switzerland,Columbidae,25,0.355
WESTERN_SAHARA,Badger,41,0.33
Uruguay,Lion,3,0.58
Tennessee,Magpie,42,0.395
Slovenia,Black_panther,20,0.17
Arizona,Swallow,29,0.93
Texas,Hamster,20,0.395
Monaco,Flamingo,29,0.105
Uruguay,Chamois,4,0.97
North_Carolina,Peafowl,56,0.725
Ethiopia,Badger,20,0.155
Wyoming,Beaver,49,0.785
New_Jersey,Hornet,47,0.595
Ecuador,Sheep,20,0.49
Australia,Moose,26,0.085
Hawaii,Coyote,18,0.515
Virginia,Raven,41,0.44
Singapore,Alligator,25,0.195
Arizona,Giraffe,22,0.52
Thailand,Black_panther,17,0.085
Vatican_City,Mallard,17,0.58
Alaska,Moose,12,0.92
Malaysia,Rhinoceros,47,0.4
Japan,Black_panther,47,0.215
Michigan,Zebra,14,0.53
Netherlands,Cheetah,32,0.425
Tuvalu,Bison,56,0.52
Uzbekistan,Skunk,7,0.03
CZECH_REPUBLIC,Coyote,5,0.15
Mississippi,Alligator,9,0.075
Grenada,Peafowl,16,0.34
Alaska,Donkey,56,0.05
Michigan,Heron,51,0.915
Latvia,Manatee,54,0.875
Monaco,Sheep,21,0.555
Arizona,Donkey,5,0.465
Finland,Donkey,23,0.85
Mozambique,Hyena,38,0.02
Thailand,Hyena,34,0.135
MARSHALL_ISLANDS,Bison,19,0.07
South_Carolina,Gazelle,59,0.46
Barbados,Zebra,2,0.13
Uzbekistan,Heron,59,0.52
Wyoming,Mouse,13,0.665
Romania,Skunk,47,0.57
Mississippi,Beaver,18,0.48
Malawi,Mule,45,0.56
Kiribati,Otter,32,0.485
Tonga,Baboon,0,0.999
Wyoming,Alligator,40,0.95
Guatemala,Alligator,25,0.56
Switzerland,Heron,34,0.585
Kiribati,Louse,37,0.465
Wisconsin,Bison,36,0.565
Nauru,Badger,4,0.685
Singapore,Sheep,50,0.74
Greece,Lion,44,0.19
DOMINICAN_REPUBLIC,Cobra,37,0.36
Tuvalu,Lion,32,0.695
Virginia,Gerbil,13,0.36
Tennessee,Goose,8,0.28
Dominica,Moose,23,0.055
Missouri,Louse,45,0.01
COSTA_RICA,Otter,43,0.57
Texas,Quail,13,1
Uzbekistan,Flamingo,43,0.985
Mozambique,Donkey,50,0.26
Washington,Lion,27,0.07
Zambia,Ostrich,30,0.76
DOMINICAN_REPUBLIC,Beaver,13,0.755
Nauru,Pelican,4,0.93
Switzerland,Black_panther,2,0.715
Vatican_City,Bison,0,0.705
Washington,Otter,43,0.29
Wyoming,Hamster,6,0.04
Mozambique,Magpie,38,0.66
Wisconsin,Mouse,27,0.17
Washington,Fox,49,0.04
Thailand,Ostrich,45,0.095
Australia,Manatee,0,0.99
Slovenia,Flamingo,33,0.13
Saudi_Arabia,Rhinoceros,25,0.645
Malawi,Moose,19,0.64
Washington,Pinniped,4,0.15
Hawaii,Hornet,12,0.02
CZECH_REPUBLIC,Human,18,0.69
Finland,Fox,42,0.695
France,Jaguar,14,0.59
Canada,Gorilla,35,0.585
Luxembourg,Giraffe,37,0.94
Morocco,Otter,4,0.495
Slovakia,Mallard,20,0.71
Netherlands,Baboon,55,0.975
North_Carolina,Gazelle,52,0.18
Minnesota,Black_panther,23,0.31
Arizona,Otter,16,0
Zimbabwe,Flamingo,1,0.36
Louisiana,Raven,35,0.95
Tonga,Beaver,34,0.45
Malawi,Hyena,13,0.805
Sudan,Mouse,55,0.805
Greece,Bison,51,0.855
Singapore,Lion,26,0.495
Japan,Fox,12,0.06
Malta,Badger,50,0.905
Alaska,Swallow,51,0.925
Serbia,Hamster,48,0.69
Finland,Hyena,19,0.245
Australia,Fish,17,0.095
Tunisia,Donkey,46,0.43
Zambia,Columbidae,12,0.445
Florida,Lion,26,0.27
Colombia,Louse,26,0.765
Mississippi,Cormorant,13,0.445
Lithuania,Wombat,12,0.09
New_Mexico,Giraffe,20,0.575
Australia,Skunk,15,0.59
Serbia,Badger,53,0.625
Wyoming,Hornet,26,0.095
Samoa,Skunk,4,0.275
Sudan,Wombat,29,0.18
Luxembourg,Partridge,58,0.655
Sweden,Giant_Panda,22,0.26
Alabama,Rhinoceros,27,0.37
Zambia,Wombat,24,0.555
Luxembourg,Chamois,19,0.855
TRINIDAD_AND_TOBAGO,Manatee,52,0.83
CZECH_REPUBLIC,Skunk,19,0.015
Jordan,Human,8,0.22
Kiribati,Cobra,48,0.91
Zambia,Wren,0,0.795
Malaysia,Coyote,9,0.265
CZECH_REPUBLIC,Swallow,44,0.92
Samoa,Goose,22,0.37
Minnesota,Cobra,9,0.905
Canada,Beaver,8,0.715
Thailand,Goldfinch,12,0.455
Morocco,Pelican,51,0.02
Slovakia,Black_panther,51,0.14
South_Carolina,Goldfinch,20,0.08
Hawaii,Skunk,58,0.7
Ukraine,Raven,30,0.21
Rhode_Island,Snipe,59,0.81
Slovakia,Rhinoceros,50,0.38
Guatemala,Giraffe,58,0.67
New_Jersey,Reindeer,43,0.18
California,Otter,27,0.93
NEW_ZEALAND,Manatee,36,0.145
Virginia,Cheetah,53,0.15
Sudan,Ram,42,0.085
Sweden,Mouse,51,0.45
Missouri,Gorilla,56,0.035
Saudi_Arabia,Giant_Panda,18,0.26
Nebraska,Snipe,12,0.715
Ukraine,Alligator,56,0.22
Vatican_City,Louse,28,0.73
Zambia,Quail,30,0.515
Canada,Human,5,0.545
Tunisia,Jaguar,27,0.045
NEW_ZEALAND,Raven,2,0.89
Mississippi,Hamster,41,0.2
California,Fox,30,0.15
Denmark,Raven,20,0.53
New_Mexico,Fox,0,0.15
Ireland,Raven,47,0.24
Minnesota,Rhinoceros,22,0.065
Canada,Hamster,27,0.105
Ethiopia,Columbidae,57,0.91
California,Ram,47,0.385
Washington,Black_panther,41,0.835
Morocco,Baboon,8,0.85
Minnesota,Reindeer,46,0.065
Finland,Lion,15,0.015
Japan,Cobra,2,0.065
Lithuania,Badger,31,0.84
Alaska,Giant_Panda,12,0.615
Canada,Skunk,40,0.385
Virginia,Cheetah,0,0.295
Saudi_Arabia,Giant_Panda,2,0.395
MARSHALL_ISLANDS,Camel,3,0.205
Samoa,Otter,49,0.505
Tanzania,Swallow,57,0.245
Thailand,Fox,3,0.485
Oregon,Cormorant,3,0.9
Croatia,Wombat,2,0.42
Maine,Bison,23,0.95
Italy,Camel,21,0.33
Slovakia,Badger,58,0.52
Tonga,Lion,11,0.48
Madagascar,Zebra,14,0.4
Illinois,Nightingale,41,0.125
South_Carolina,Louse,14,0.86
Barbados,Partridge,29,0.335
Spain,Mallard,26,0.26
Ukraine,Rhinoceros,34,0.525
Romania,Cheetah,19,0.32
Morocco,Baboon,15,0.545
Samoa,Sheep,19,0.54
Finland,Donkey,6,0.84
Nebraska,Fox,41,0.675
DOMINICAN_REPUBLIC,Mule,16,0.71
Uzbekistan,Coyote,48,0.98
Texas,Rhinoceros,4,0.44
Nepal,Black_panther,55,0.065
Jordan,Flamingo,38,0.395
Massachusetts,Human,51,0.285
Lithuania,Goose,19,0.97
Georgia,Black_panther,14,0.07
Denmark,Mule,44,0.565
Ghana,Hornet,12,0.755
Virginia,Goose,5,0.89
COSTA_RICA,Reindeer,53,0.065
Zambia,Sheep,33,0.42
Nebraska,Otter,22,0.305
Uzbekistan,Fox,19,0.57
Samoa,Skunk,50,0.135
Ghana,Reindeer,14,0.585
Dominica,Raven,1,0.825
Oregon,Partridge,49,0
Tanzania,Lion,35,0.8
Grenada,Pinniped,17,0.99
Georgia,Goldfinch,7,0.33
Saudi_Arabia,Quail,48,0.585
Ghana,Goldfinch,11,0.675
Oregon,Gerbil,39,0.345
Minnesota,Wombat,23,0.615
Ethiopia,Donkey,42,0.525
Namibia,Fish,16,0.875
Rhode_Island,Hornet,8,0.955
Ecuador,Cormorant,27,0.085
Slovenia,Beaver,39,0.64
Mississippi,Wren,54,0.86
Switzerland,Louse,52,0.395
South_Carolina,Bison,23,0.26
Serbia,Beaver,51,0.99
California,Otter,9,0.82
EL_SALVADOR,Human,33,0.105
Italy,Giraffe,33,0.65
Nauru,Ostrich,15,0.615
Ethiopia,Sheep,29,0.35
Italy,Jaguar,24,0.88
Tuvalu,Wombat,58,0.65
Virginia,Manatee,18,0.41
Nauru,Mule,25,0.175
Arizona,Dolphin,46,0.81
Monaco,Magpie,41,0.56
EQUATORIAL_GUINEA,Moose,8,0.75
Croatia,Crow,29,0.4
Taiwan,Giant_Panda,47,0.38
CZECH_REPUBLIC,Sheep,31,0.635
Michigan,Otter,42,0.635
Ukraine,Crow,18,0.31
Mississippi,Quail,11,0.62
Nebraska,Hornet,16,0.885
France,Donkey,2,0.065
TRINIDAD_AND_TOBAGO,Giraffe,18,0.985
Alabama,Mouse,9,0.8
Romania,Hamster,44,0.135
Minnesota,Lion,58,0.885
Japan,Moose,25,0.645
Sudan,Coyote,2,0.675
Wyoming,Quail,13,0.13
Oregon,Fox,55,0.745
Canada,Lion,15,0.59
Uruguay,Giraffe,39,0.275
Missouri,Wren,3,0.155
Monaco,Hornet,40,0.51
Malta,Flamingo,25,0.37
Washington,Goose,31,0.09
Rhode_Island,Goose,1,0.655
Ireland,Mule,41,0.935
Tonga,Columbidae,24,0.99
Tanzania,Wren,31,0.71
Morocco,Partridge,25,0.175
South_Carolina,Snipe,29,0.945
Massachusetts,Mule,22,0.22
Namibia,Mouse,15,0.08
Luxembourg,Manatee,15,0.185
Malaysia,Ram,19,0.35
EQUATORIAL_GUINEA,Baboon,33,0.32
Nebraska,Fish,5,0.795
Luxembourg,Snipe,47,0.26
Jordan,Jackal,19,0.755
Rhode_Island,Coyote,38,0.61
Nebraska,Partridge,34,0.115
Grenada,Louse,51,0.455
Uruguay,Camel,32,0.35
EQUATORIAL_GUINEA,Bison,50,0.235
Switzerland,Alligator,44,0.17
Tunisia,Black_panther,24,0.28
Malta,Gerbil,42,0.075
Morocco,Cobra,1,0.285
Greece,Heron,0,0.865
Massachusetts,Gerbil,58,0.175
Tonga,Dolphin,45,0.685
Serbia,Giraffe,6,0.33
New_Mexico,Skunk,19,0.975
Wyoming,Mallard,39,0.91
Slovakia,Jackal,59,0.785
Tuvalu,Reindeer,5,0.655
Colombia,Ostrich,45,0.615
Madagascar,Badger,1,0.305
Slovenia,Hornet,48,0.12
Uganda,Moose,14,0.42
Luxembourg,Fox,9,0.745
Zambia,Reindeer,18,0.8
Grenada,Otter,19,0.495
Mississippi,Goose,21,0.61
NEW_ZEALAND,Zebra,23,0.825
Minnesota,Camel,36,0.735
Mozambique,Moose,18,0.44
Dominica,Magpie,0,0.62
Colombia,Gazelle,3,0.745
Uruguay,Donkey,46,0.17
Grenada,Hornet,18,0.23
EQUATORIAL_GUINEA,Mouse,5,0.805
WESTERN_SAHARA,Human,33,0.34
Virginia,Human,21,0.5
Ukraine,Dolphin,9,0.44
Nauru,Snipe,28,0.175
Louisiana,Peafowl,33,0.18
Zimbabwe,Camel,10,0.365
Denmark,Bison,4,0.915
Louisiana,Black_panther,38,0.76
Zambia,Wren,34,0.355
Nauru,Hamster,13,0.6
Florida,Beaver,13,0.065
WESTERN_SAHARA,Chamois,32,0.18
Rhode_Island,Hamster,7,0.395
Nepal,Mouse,21,0.295
Alabama,Magpie,31,0.73
Wisconsin,Raven,15,0.015
Illinois,Louse,0,0.345
Texas,Wren,11,0.13
New_Mexico,Bison,24,0.575
Uzbekistan,Swallow,46,0
Canada,Fish,57,0.805
Luxembourg,Moose,39,0.84
Netherlands,Louse,29,0.625
Arizona,Goose,20,0.62
Ghana,Coyote,31,0.47
Turkey,Hornet,9,0.02
Tanzania,Rhinoceros,51,0.725
Mozambique,Sheep,2,0.06
Netherlands,Louse,31,0.685
Greece,Goldfinch,7,0.255
Ireland,Fish,13,0.47
Tonga,Chamois,27,0.08
Tunisia,Fox,45,0.805
California,Louse,51,0.985
Texas,Giraffe,39,0.25
Washington,Giraffe,22,0.665
Alabama,Baboon,42,0.36
Jordan,Magpie,43,0.445
Latvia,Donkey,48,0.145
Washington,Cheetah,34,0.5
Ireland,Gerbil,23,0.285
Uzbekistan,Bison,38,0.225
Ukraine,Alligator,14,0.575
Guatemala,Flamingo,48,0.135
Tonga,Badger,40,0.56
Alabama,Mallard,24,0.395
Guatemala,Goose,53,0.235
Louisiana,Fish,39,0.06
WESTERN_SAHARA,Alligator,24,0.49
Massachusetts,Camel,16,0.83
DOMINICAN_REPUBLIC,Partridge,24,0.84
Taiwan,Chamois,52,0.14
Monaco,Black_panther,2,0.915
South_Carolina,Baboon,42,0.19
MARSHALL_ISLANDS,Cormorant,41,0.445
Uzbekistan,Beaver,51,0.79
Michigan,Goose,3,0.78
Morocco,Cormorant,41,0.305
Grenada,Raven,23,0.285
Malawi,Crow,39,0.325
South_Carolina,Cobra,40,0.955
DOMINICAN_REPUBLIC,Camel,40,0.98
Italy,Cormorant,18,0.255
TRINIDAD_AND_TOBAGO,Hamster,40,0.27
Morocco,Hornet,14,0.445
MARSHALL_ISLANDS,Mule,57,0.745
Alaska,Jackal,42,0.465
Pennsylvania,Manatee,52,0.795
Florida,Pinniped,38,0.21
Switzerland,Donkey,2,0.71
Maine,Magpie,36,0.405
Nigeria,Flamingo,44,0.755
Oregon,Reindeer,8,0.145
Samoa,Bison,47,0.57
Missouri,Reindeer,59,0.635
Tunisia,Goldfinch,14,0.235
Saudi_Arabia,Cormorant,46,0.46
Romania,Donkey,5,0.53
Ukraine,Skunk,17,0.17
Georgia,Sheep,35,0.365
Florida,Manatee,15,0.955
Hawaii,Reindeer,5,0.785
Vatican_City,Mallard,35,0.6
Vatican_City,Jaguar,28,0.74
Ukraine,Lion,13,0.995
Wisconsin,Magpie,55,0.785
Zambia,Badger,54,0.645
Monaco,Beaver,35,0.2
Wisconsin,Bison,11,0.69
Monaco,Fox,3,0.16
Croatia,Gazelle,21,0.07
Luxembourg,Peafowl,19,0.65
Ghana,Mule,51,0.475
Canada,Fox,0,0.985
Serbia,Rhinoceros,30,0.72
Grenada,Camel,59,0.22
Nauru,Coyote,6,0.37
Arizona,Peafowl,57,0.115
Nauru,Cheetah,17,0.16
Thailand,Fox,26,0.995
North_Carolina,Fox,2,0.55
Serbia,Fox,41,0.93
Wyoming,Wombat,28,0.195
Lithuania,Gazelle,26,0.755
Canada,Moose,42,0.03
Lithuania,Heron,39,0.545
Alaska,Mouse,36,0.765
Illinois,Wren,24,0.77
Vatican_City,Mouse,24,0.695
Colombia,Dolphin,6,0.17
WESTERN_SAHARA,Mule,52,0.46
Netherlands,Bison,1,0.75
Wyoming,Mule,13,0.55
Canada,Wombat,55,0.875
Minnesota,Heron,12,0.42
Virginia,Sheep,11,0.96
Tunisia,Jaguar,3,0.96
Nauru,Mouse,23,0.385
Turkey,Fish,41,0.275
Dominica,Cheetah,31,0.105
CZECH_REPUBLIC,Lion,39,0.435
Serbia,Pelican,3,0.34
Malawi,Ram,46,0.3
Slovenia,Goose,34,0.325
North_Carolina,Cobra,28,0.88
Italy,Goldfinch,17,0.91
Latvia,Wren,14,0.76
Thailand,Zebra,3,0.32
Illinois,Ram,30,0.15
Singapore,Camel,8,0.22
North_Carolina,Cheetah,37,0.29
Sudan,Otter,48,0.825
Slovenia,Cheetah,55,0.45
France,Badger,31,0.49
NEW_ZEALAND,Ram,48,0.35
Saudi_Arabia,Cormorant,43,0.465
Alabama,Fish,9,0.99
New_Mexico,Mule,12,0.985
Nebraska,Crow,32,0.125
Cyprus,Gorilla,56,0.875
Barbados,Hamster,37,0.08
Guatemala,Gerbil,39,0.64
Oregon,Magpie,19,0.695
Slovakia,Snipe,3,0.16
Ireland,Black_panther,41,0.37
Wisconsin,Columbidae,57,0.59
Malawi,Camel,37,0.085
Uzbekistan,Gerbil,46,0.755
Grenada,Magpie,25,0.595
TRINIDAD_AND_TOBAGO,Goldfinch,9,0.11
Hawaii,Giant_Panda,36,0.06
Sweden,Donkey,44,0.925
Taiwan,Louse,27,0.285
Finland,Reindeer,38,0.54
DOMINICAN_REPUBLIC,Cheetah,47,0.79
Rhode_Island,Fox,39,0.595
DOMINICAN_REPUBLIC,Fox,0,0.095
Wisconsin,Mallard,21,0.025
Canada,Mouse,14,0.105
Pennsylvania,Gazelle,31,0.36
EL_SALVADOR,Rhinoceros,28,0.39
Ghana,Gerbil,34,0.355
Dominica,Otter,24,0.73
Slovenia,Hamster,34,0.5
Slovakia,Chamois,16,0.965
Malawi,Hamster,44,0.535
Texas,Wombat,10,0.38
Taiwan,Pelican,16,0
North_Carolina,Rhinoceros,58,0.305
Massachusetts,Badger,58,0.26
Pennsylvania,Hornet,42,0.44
Tuvalu,Louse,27,0.755
Tennessee,Alligator,37,0.695
Pennsylvania,Wombat,17,0.04
Hawaii,Rhinoceros,35,0.465
Minnesota,Gorilla,23,0.835
Barbados,Hamster,59,0.14
CZECH_REPUBLIC,Flamingo,54,0.77
Maryland,Goldfinch,57,0.755
Netherlands,Camel,57,0.055
Minnesota,Hyena,10,0.745
Nigeria,Sheep,57,0.215
Australia,Flamingo,30,0.49
Luxembourg,Hyena,22,0.15
Massachusetts,Wombat,26,0.31
Latvia,Hyena,30,0.675
Finland,Swallow,2,0.95
Hawaii,Swallow,2,0.425
Croatia,Magpie,55,0.63
Nepal,Giant_Panda,0,0.01
France,Hornet,12,0.315
NEW_ZEALAND,Goldfinch,42,0.42
California,Moose,13,0.25
EQUATORIAL_GUINEA,Columbidae,8,0.51
Croatia,Badger,54,0.89
Singapore,Heron,49,0.37
Alaska,Camel,59,0.335
Serbia,Beaver,10,0.98
Taiwan,Baboon,52,0.365
Madagascar,Nightingale,45,0.74
COSTA_RICA,Manatee,21,0.355
North_Carolina,Crow,1,0.11
Lithuania,Fish,36,0.175
EL_SALVADOR,Rhinoceros,51,0.995
Finland,Bison,38,0.955
Alabama,Gazelle,23,0.33
MARSHALL_ISLANDS,Rhinoceros,3,0.255
Samoa,Black_panther,17,0.36
Australia,Flamingo,9,0.785
Cyprus,Chamois,4,0.78
France,Zebra,39,0.025
Canada,Skunk,48,0.125
Tanzania,Giant_Panda,48,0.705
Thailand,Mallard,41,0.29
NEW_ZEALAND,Columbidae,52,0.36
CZECH_REPUBLIC,Goldfinch,58,0.22
Minnesota,Jaguar,37,0.82
Nepal,Hamster,16,0.675
Lithuania,Badger,44,0.43
Oregon,Heron,23,0.945
COSTA_RICA,Dolphin,44,0.295
Wisconsin,Rhinoceros,3,0.94
Maryland,Quail,52,0.57
EQUATORIAL_GUINEA,Heron,30,0.165
Luxembourg,Cheetah,46,0.735
Nigeria,Ostrich,11,0.105
France,Jaguar,15,0.765
Washington,Louse,11,0.115
Alabama,Fox,46,0.925
Namibia,Gorilla,47,0.315
Slovakia,Nightingale,26,0.43
Malawi,Rhinoceros,2,0.635
Spain,Hamster,43,0.13
Illinois,Giraffe,52,0.34
France,Donkey,22,0.14
DOMINICAN_REPUBLIC,Pelican,4,0.865
Massachusetts,Flamingo,8,0.985
Monaco,Gerbil,7,0.5
Spain,Gerbil,54,0.985
Tuvalu,Pelican,18,0.825
Michigan,Mallard,28,0.965
France,Flamingo,11,0.715
Samoa,Raven,41,0.76
Vatican_City,Mouse,57,0.995
Zimbabwe,Pelican,22,0.215
Ghana,Manatee,43,0.54
Nauru,Peafowl,53,0.855
Australia,Zebra,21,0.61
Croatia,Coyote,30,0.2
Samoa,Cormorant,48,0.89
Maryland,Hamster,23,0.49
Uruguay,Black_panther,3,0.295
Washington,Peafowl,47,0.675
Tanzania,Fish,40,0.62
Ecuador,Beaver,8,0.84
DOMINICAN_REPUBLIC,Skunk,23,0.995
Morocco,Cormorant,26,0.08
Taiwan,Pelican,49,0.405
Florida,Gorilla,26,0.68
Colombia,Ram,18,0.19
Latvia,Badger,26,0.81
Missouri,Beaver,21,0.55
Ukraine,Swallow,59,0.56
EL_SALVADOR,Peafowl,51,0.57
Maine,Fox,3,0.7
Finland,Reindeer,1,0.405
Singapore,Gerbil,37,0.835
Mozambique,Mule,39,0.795
Pennsylvania,Wombat,6,0.08
New_Mexico,Lion,5,0.225
Nepal,Fish,18,0.415
Maine,Wren,17,0.79
COSTA_RICA,Giant_Panda,38,0.04
Zambia,Partridge,44,0.36
Sudan,Jackal,57,0.01
Uruguay,Swallow,58,0.465
COSTA_RICA,Coyote,49,0.575
Tonga,Dolphin,55,0.76
Thailand,Ram,25,0.335
Grenada,Hamster,52,0.005
Uruguay,Cobra,18,0.225
France,Hornet,44,0.215
Wyoming,Swallow,17,0.385
Croatia,Louse,3,0.685
COSTA_RICA,Crow,54,0.87
CZECH_REPUBLIC,Gorilla,40,0.29
Mozambique,Reindeer,35,0.5
Mississippi,Gazelle,38,0.41
Florida,Magpie,42,0.765
Japan,Ram,8,0.25
Illinois,Nightingale,0,0.355
NEW_ZEALAND,Louse,52,0.035
Minnesota,Baboon,47,0
Namibia,Ostrich,51,0.245
Tennessee,Sheep,43,0.865
Hawaii,Beaver,4,0.37
EQUATORIAL_GUINEA,Wombat,25,0.62
MARSHALL_ISLANDS,Quail,22,0.115
Hawaii,Alligator,6,0.84
Nauru,Quail,23,0.435
DOMINICAN_REPUBLIC,Chamois,47,0.905
Namibia,Swallow,32,0.815
Morocco,Jackal,29,0.86
New_Jersey,Columbidae,48,0.49
Australia,Gerbil,37,0.555
Illinois,Baboon,49,0.2
