A,B,score,
Thailand,Partridge,0.345,
Guatemala,Beaver,0.3,
Alabama,Heron,0.315,
NEW_ZEALAND,Alligator,0.495,
Malaysia,Badger,0.165,
Tanzania,Mallard,0.34,
Slovakia,Cobra,0.51,
Grenada,Manatee,0.99,
Tuvalu,Otter,0.88,
TRINIDAD_AND_TOBAGO,Lion,0.175,
Slovenia,Magpie,0.625,
New_Jersey,Pelican,0.975,
Slovenia,Swallow,0.1,
Australia,Otter,0.175,
Vatican_City,Moose,0.315,
Alabama,Manatee,0.73,
Spain,Swallow,0.05,
Maine,Rhinoceros,0.615,
Tanzania,Mallard,0.44,
Italy,Rhinoceros,0.4,
Louisiana,Jaguar,0.955,
Guatemala,Nightingale,0.19,
TRINIDAD_AND_TOBAGO,Rhinoceros,0.495,
Zimbabwe,Louse,0.57,
Sweden,Louse,0.055,
Singapore,Partridge,0.945,
Lithuania,Goldfinch,0.715,
Croatia,Goose,0.915,
Sudan,Zebra,0.9,
Ghana,Gorilla,0.04,
Colombia,Black_panther,0.395,
Malta,Hornet,0.54,
Finland,Gerbil,0.315,
Tennessee,Raven,0.21,
MARSHALL_ISLANDS,Goose,0.49,
North_Carolina,Mouse,0.915,
Vatican_City,Giant_Panda,0.29,
Serbia,Alligator,0.955,
Oregon,Cobra,0.395,
Finland,Cheetah,0.15,
Minnesota,Human,0.56,
Romania,Wombat,0.965,
Madagascar,Mouse,0.97,
CZECH_REPUBLIC,Crow,0.835,
South_Carolina,Pinniped,0.44,
Lithuania,Otter,0.705,
Namibia,Gazelle,0.365,
Slovakia,Louse,0.39,
Thailand,Badger,0.965,
Hawaii,Flamingo,0.595,
Uganda,Reindeer,0.74,
Virginia,Quail,0.58,
Malta,Dolphin,0.945,
Netherlands,Badger,0.06,
Spain,Pelican,0.065,
Zimbabwe,Heron,0.695,
MARSHALL_ISLANDS,Crow,0.36,
Finland,Giant_Panda,0.78,
Massachusetts,Cheetah,0.11,
Barbados,Gorilla,0.645,
Italy,Sheep,0.32,
Nauru,Pinniped,0.44,
Zimbabwe,Gorilla,0.095,
New_Mexico,Pelican,0.705,
Denmark,Mouse,0.215,
Rhode_Island,Crow,0.465,
Illinois,Hamster,0.86,
Virginia,Giant_Panda,0.37,
Thailand,Heron,0.3,
MARSHALL_ISLANDS,Human,0.905,
Guatemala,Swallow,0.8,
EQUATORIAL_GUINEA,Goose,0.515,
Lithuania,Manatee,0.92,
Japan,Gorilla,0.175,
Greece,Snipe,0.99,
Barbados,Lion,0.8,
Switzerland,Hyena,0.62,
CZECH_REPUBLIC,Gerbil,0.025,
Maine,Fish,0.455,
California,Camel,0.565,
Slovakia,Lion,0.675,
Grenada,Giant_Panda,0.315,
CZECH_REPUBLIC,Hyena,0.325,
Mozambique,Mallard,0.275,
Missouri,Heron,0.56,
DOMINICAN_REPUBLIC,Donkey,0.495,
WESTERN_SAHARA,Mallard,0.855,
Latvia,Snipe,0.65,
Australia,Reindeer,0.815,
MARSHALL_ISLANDS,Cobra,0.38,
Tennessee,Alligator,0.07,
TRINIDAD_AND_TOBAGO,Rhinoceros,0.66,
Greece,Giraffe,0.02,
Canada,Cobra,0.645,
EQUATORIAL_GUINEA,Louse,0.765,
Hawaii,Bison,0.325,
Singapore,Pinniped,0.355,
Guatemala,Reindeer,0.775,
Slovakia,Otter,0.81,
Lithuania,Columbidae,0.325,
Ethiopia,Wombat,0.66,
Guatemala,Jackal,0.975,
Namibia,Partridge,0.59,
Washington,Peafowl,0.86,
Illinois,Wombat,0.42,
Michigan,Human,0.99,
California,Flamingo,0.77,
Ecuador,Swallow,0.705,
Tonga,Raven,0.81,
Georgia,Sheep,0.12,
Lithuania,Giant_Panda,0.125,
New_Jersey,Hamster,0.905,
Luxembourg,Hyena,0.31,
France,Mouse,0.945,
Washington,Jackal,0.845,
Georgia,Ostrich,0.37,
Zambia,Partridge,0.05,
Japan,Jaguar,0.145,
Lithuania,Gorilla,0.79,
Jordan,Gorilla,0.7,
Slovenia,Snipe,0.72,
Maryland,Cobra,0.385,
Uzbekistan,Goldfinch,0.775,
Turkey,Chamois,0.57,
Tonga,Giant_Panda,0.51,
Denmark,Nightingale,0.995,
Sweden,Wren,0.42,
Mozambique,Dolphin,0.815,
Ghana,Partridge,0.215,
Turkey,Goldfinch,0.15,
Netherlands,Partridge,0.485,
Rhode_Island,Skunk,0.315,
Mozambique,Wren,0.54,
Saudi_Arabia,Cheetah,0.255,
Georgia,Raven,0.15,
Canada,Quail,0.115,
Florida,Badger,0.41,
Nauru,Peafowl,0.73,
Wisconsin,Baboon,0.805,
Alaska,Mallard,0.93,
Tanzania,Partridge,0.14,
Malaysia,Mallard,0.735,
Tennessee,Flamingo,0.595,
CZECH_REPUBLIC,Skunk,0.71,
Turkey,Crow,0.045,
Dominica,Hyena,0.145,
Finland,Louse,0.74,
Tennessee,Rhinoceros,0.05,
Grenada,Ram,0.65,
Missouri,Zebra,0.91,
Malawi,Coyote,0.21,
Grenada,Magpie,0.58,
Latvia,Pinniped,0.82,
Colombia,Gazelle,0.415,
Illinois,Cheetah,0.635,
Sudan,Crow,0.335,
Italy,Zebra,0.78,
Canada,Hyena,0.555,
Mozambique,Crow,0.085,
Thailand,Cormorant,0.285,
Singapore,Dolphin,0.88,
Luxembourg,Louse,0.45,
DOMINICAN_REPUBLIC,Rhinoceros,0.48,
Tennessee,Ram,0.475,
Saudi_Arabia,Fish,0.855,
California,Bison,0.71,
Namibia,Pelican,0.49,
Kiribati,Mouse,0.165,
Kiribati,Columbidae,0.385,
Maine,Louse,0.71,
Monaco,Zebra,0.215,
Alaska,Ostrich,0.34,
Greece,Baboon,0.65,
Missouri,Gazelle,0.275,
Saudi_Arabia,Wren,0.125,
Alaska,Gazelle,0.995,
Turkey,Cobra,0.17,
Zambia,Magpie,0.78,
Slovenia,Cormorant,0.17,
WESTERN_SAHARA,Reindeer,0.31,
Uzbekistan,Giant_Panda,0.14,
Wisconsin,Fox,0.23,
Florida,Pinniped,0.54,
Romania,Pinniped,0.02,
Luxembourg,Alligator,0.49,
Pennsylvania,Quail,0.1,
Saudi_Arabia,Gazelle,0.31,
Maine,Cheetah,0,
Colombia,Mouse,0.635,
Vatican_City,Peafowl,0.515,
Saudi_Arabia,Gorilla,0.07,
Denmark,Human,0.835,
Washington,Fish,0.88,
Thailand,Gorilla,0.95,
Colombia,Snipe,0.25,
Hawaii,Peafowl,0.935,
Denmark,Peafowl,0.47,
California,Gerbil,0.125,
Malaysia,Rhinoceros,0.595,
Oregon,Mallard,0.07,
Rhode_Island,Magpie,0.21,
North_Carolina,Human,0.905,
Illinois,Jaguar,0.915,
Slovenia,Human,0.54,
Thailand,Mule,0.785,
COSTA_RICA,Lion,0.625,
Sudan,Wren,0.44,
Kiribati,Hyena,0.95,
Mozambique,Gerbil,0.81,
Wyoming,Nightingale,0.035,
Sweden,Mouse,0.665,
Taiwan,Pelican,0.375,
Finland,Goose,0.46,
Rhode_Island,Skunk,0.635,
Taiwan,Flamingo,0.92,
Dominica,Sheep,0.28,
Wisconsin,Beaver,0.71,
Maryland,Ram,0.535,
Virginia,Reindeer,0.48,
Greece,Jackal,0.42,
Ukraine,Alligator,0.945,
Malaysia,Crow,0.705,
CZECH_REPUBLIC,Pinniped,0.76,
Thailand,Gorilla,0.935,
Malaysia,Pinniped,0.6,
Nepal,Sheep,0.735,
Georgia,Goldfinch,0.2,
Zimbabwe,Coyote,0.145,
Ukraine,Hyena,0.415,
Nepal,Badger,0.72,
Sweden,Sheep,0.16,
EL_SALVADOR,Camel,0.53,
Minnesota,Pelican,0.675,
Washington,Crow,0.205,
Alaska,Pelican,0.97,
Tunisia,Peafowl,0.39,
Georgia,Skunk,0.16,
New_Mexico,Pinniped,0.175,
Taiwan,Jackal,0.515,
Tennessee,Louse,0.135,
Vatican_City,Magpie,0.515,
Guatemala,Cheetah,0.725,
Uganda,Quail,0.52,
Malaysia,Cheetah,0.48,
Cyprus,Giant_Panda,0.395,
North_Carolina,Hornet,0.735,
New_Jersey,Ram,0.385,
Dominica,Black_panther,0.43,
Zimbabwe,Goldfinch,0.2,
Minnesota,Reindeer,0.3,
South_Carolina,Hornet,0.725,
Alaska,Wren,0.375,
Georgia,Mule,0.79,
Alabama,Dolphin,0.205,
Missouri,Goldfinch,0.14,
Ukraine,Cormorant,0.035,
Monaco,Chamois,0.615,
Uruguay,Sheep,0.63,
DOMINICAN_REPUBLIC,Hornet,0.32,
Thailand,Hamster,0.75,
Massachusetts,Jackal,0.365,
Georgia,Partridge,0.415,
Missouri,Swallow,0.665,
Ireland,Beaver,0.515,
Australia,Wombat,0.275,
Malaysia,Quail,0.83,
Alaska,Giraffe,0.765,
Uzbekistan,Snipe,0.885,
Latvia,Cheetah,0.595,
Florida,Cormorant,0.64,
Georgia,Human,0.195,
Cyprus,Lion,0.875,
Ethiopia,Goldfinch,0.08,
COSTA_RICA,Cobra,0.125,
Maryland,Wren,0.4,
Michigan,Quail,0.955,
Georgia,Cobra,0.69,
Texas,Lion,0.415,
EQUATORIAL_GUINEA,Gazelle,0.695,
Romania,Cobra,0.6,
Sweden,Pelican,0.78,
Rhode_Island,Heron,0.61,
Guatemala,Raven,0.53,
Tunisia,Nightingale,0.705,
Barbados,Human,0.795,
TRINIDAD_AND_TOBAGO,Gorilla,0.755,
Malta,Gorilla,0.29,
Maine,Wombat,0.405,
Ukraine,Moose,0.195,
Saudi_Arabia,Mallard,0.465,
Turkey,Manatee,0.63,
Louisiana,Quail,0.915,
Taiwan,Swallow,0.18,
Maryland,Gerbil,0.425,
Ghana,Wren,0.07,
EQUATORIAL_GUINEA,Coyote,0.55,
Malawi,Badger,0.365,
Denmark,Ostrich,0.685,
Serbia,Camel,0.255,
Italy,Human,0.02,
Ethiopia,Lion,0.465,
Texas,Human,0.895,
EQUATORIAL_GUINEA,Ostrich,0.395,
Australia,Donkey,0.145,
Spain,Beaver,0.8,
Japan,Black_panther,0.455,
Zambia,Fox,0.725,
Italy,Giant_Panda,0.895,
Malaysia,Ostrich,0.96,
Ireland,Beaver,0.145,
Illinois,Pinniped,0.735,
Maine,Fish,0.37,
Ukraine,Rhinoceros,0.52,
Minnesota,Hamster,0.285,
Nigeria,Gorilla,0.505,
France,Gorilla,0.675,
EL_SALVADOR,Black_panther,0.6,
Ecuador,Skunk,0.05,
Florida,Donkey,0.165,
WESTERN_SAHARA,Wombat,0.825,
Dominica,Dolphin,0.86,
DOMINICAN_REPUBLIC,Snipe,0.51,
Arizona,Cheetah,0.91,
France,Magpie,0.505,
Samoa,Gazelle,0.78,
Namibia,Zebra,0.54,
New_Mexico,Alligator,0.42,
Wisconsin,Donkey,0.895,
Taiwan,Cormorant,0.23,
Colombia,Crow,0.875,
WESTERN_SAHARA,Dolphin,0.005,
Zimbabwe,Ostrich,0.81,
COSTA_RICA,Cobra,0.91,
Saudi_Arabia,Nightingale,0.835,
Madagascar,Fox,0.615,
Rhode_Island,Flamingo,0.04,
Tunisia,Camel,0.775,
Wyoming,Jaguar,0.25,
Tonga,Hamster,0.42,
DOMINICAN_REPUBLIC,Gazelle,0.41,
Hawaii,Hyena,0.25,
NEW_ZEALAND,Wren,0.955,
Georgia,Mule,0.13,
Switzerland,Peafowl,0.97,
Ethiopia,Rhinoceros,0.345,
Serbia,Alligator,0.5,
Slovakia,Columbidae,0.35,
Mozambique,Partridge,0.965,
Jordan,Goldfinch,0.815,
Uzbekistan,Pelican,0.005,
Missouri,Pinniped,0.11,
Madagascar,Hyena,0.71,
Japan,Louse,0.28,
Spain,Badger,0.4,
Alaska,Flamingo,0.62,
Madagascar,Ostrich,0.875,
Texas,Rhinoceros,0.135,
Samoa,Swallow,0.275,
Madagascar,Giraffe,0.275,
Cyprus,Baboon,0.155,
Romania,Beaver,0.57,
Nigeria,Hornet,0.02,
Alaska,Flamingo,0.05,
Monaco,Jaguar,0.815,
Florida,Flamingo,0.3,
Tonga,Flamingo,0.25,
Tanzania,Nightingale,0.555,
Maryland,Nightingale,0.45,
Samoa,Crow,0.21,
Switzerland,Giraffe,0.025,
EL_SALVADOR,Hamster,0.02,
EL_SALVADOR,Pinniped,0.41,
Virginia,Skunk,0.145,
Florida,Cobra,0.35,
Georgia,Nightingale,0.175,
Thailand,Ostrich,0.35,
NEW_ZEALAND,Jackal,0.29,
Wyoming,Quail,0.62,
Nepal,Giant_Panda,0.83,
EL_SALVADOR,Jackal,0.495,
Tennessee,Columbidae,0.735,
Cyprus,Pinniped,0.065,
Rhode_Island,Fish,0.095,
Singapore,Magpie,0.485,
Ethiopia,Camel,0.32,
Ethiopia,Mouse,0.52,
Nigeria,Mallard,0.13,
New_Mexico,Heron,0.52,
Ireland,Goldfinch,0.625,
Nepal,Mallard,0.92,
Malaysia,Reindeer,0.025,
Greece,Partridge,0.61,
MARSHALL_ISLANDS,Camel,0.895,
TRINIDAD_AND_TOBAGO,Magpie,0.465,
Michigan,Rhinoceros,0.765,
DOMINICAN_REPUBLIC,Chamois,0.19,
Kiribati,Badger,0.39,
Namibia,Baboon,0.68,
Croatia,Camel,0.06,
Tuvalu,Swallow,0.64,
MARSHALL_ISLANDS,Gorilla,0.66,
Luxembourg,Mule,0.93,
Maine,Ram,0.375,
Kiribati,Baboon,0.62,
Alaska,Skunk,0.535,
Uzbekistan,Fox,0.675,
Maine,Gorilla,0.52,
Romania,Black_panther,0.11,
Missouri,Fox,0.085,
Monaco,Alligator,0.805,
Tanzania,Wombat,0.795,
Hawaii,Lion,0.96,
Australia,Peafowl,0.245,
Vatican_City,Peafowl,0.745,
Uruguay,Cobra,0.31,
Wyoming,Manatee,0.16,
Massachusetts,Pelican,0.695,
Maryland,Gazelle,0.78,
Maryland,Reindeer,0.05,
Guatemala,Pinniped,0.175,
Malaysia,Cobra,0.955,
Arizona,Beaver,0.67,
Jordan,Mallard,0.945,
Rhode_Island,Camel,0.095,
Croatia,Jaguar,0.635,
Slovenia,Lion,0.12,
Alabama,Coyote,0.265,
TRINIDAD_AND_TOBAGO,Cheetah,0.94,
Thailand,Columbidae,0.02,
Minnesota,Snipe,0.515,
Kiribati,Quail,0.205,
Ethiopia,Human,0.135,
Louisiana,Goose,0.03,
Tanzania,Rhinoceros,0.835,
Lithuania,Cormorant,0.45,
Colombia,Columbidae,0.22,
Uruguay,Donkey,0.715,
Virginia,Rhinoceros,0.535,
Grenada,Mule,0.155,
Singapore,Hyena,0.37,
Florida,Mallard,0.535,
Wisconsin,Gorilla,0.74,
Mississippi,Flamingo,0.17,
Cyprus,Louse,0.895,
Lithuania,Wombat,0.095,
Michigan,Mouse,0.92,
Luxembourg,Flamingo,0.41,
South_Carolina,Mallard,0.135,
Nauru,Hyena,0.28,
Ukraine,Manatee,0.615,
Virginia,Gazelle,0.775,
Slovakia,Fox,0.595,
Madagascar,Fox,0.04,
Nepal,Ostrich,0.2,
Maine,Ram,0.26,
Nebraska,Ram,0.175,
Florida,Manatee,0.395,
Slovakia,Mouse,0.735,
Latvia,Moose,0.625,
Namibia,Hornet,0.18,
Ukraine,Ostrich,0.26,
Australia,Fox,0.665,
Sweden,Jaguar,0.385,
Uzbekistan,Dolphin,0.27,
Canada,Magpie,0.955,
Minnesota,Moose,0.77,
NEW_ZEALAND,Quail,0.42,
Uganda,Nightingale,0.77,
Florida,Flamingo,0.2,
Malta,Giraffe,0.375,
Rhode_Island,Dolphin,0.58,
Florida,Partridge,0.255,
Alaska,Raven,0.395,
Sudan,Partridge,0.195,
DOMINICAN_REPUBLIC,Otter,0.845,
Denmark,Cobra,0.345,
Grenada,Mallard,0.785,
MARSHALL_ISLANDS,Donkey,0.135,
Ecuador,Cobra,0.51,
Nigeria,Magpie,0.9,
Denmark,Heron,0.15,
Sudan,Black_panther,0.695,
CZECH_REPUBLIC,Hyena,0.33,
COSTA_RICA,Hamster,0.905,
Missouri,Mouse,0.78,
Mozambique,Camel,0.995,
Grenada,Gorilla,0.745,
Dominica,Mouse,0.02,
Mississippi,Black_panther,0.565,
Texas,Jaguar,0.065,
Nebraska,Pinniped,0.74,
Tonga,Baboon,0.999,
Sweden,Reindeer,0.28,
MARSHALL_ISLANDS,Pinniped,0.395,
Alaska,Coyote,0.46,
Minnesota,Swallow,0.675,
Hawaii,Cobra,0.87,
Tonga,Magpie,0.55,
Luxembourg,Cormorant,0.17,
Italy,Dolphin,0.61,
Mozambique,Quail,0.8,
Barbados,Reindeer,0.655,
Serbia,Human,0.43,
Madagascar,Heron,0.04,
Slovenia,Otter,0.97,
Canada,Snipe,0.21,
Florida,Ostrich,0.035,
Ghana,Partridge,0.18,
Taiwan,Ram,0.69,
Tonga,Nightingale,0.115,
Barbados,Zebra,0.28,
Canada,Cormorant,0.54,
Ireland,Fish,0.51,
Uruguay,Otter,0.83,
Nepal,Goldfinch,0.515,
Ukraine,Goldfinch,0.095,
Alaska,Hyena,0.215,
Cyprus,Zebra,0.725,
NEW_ZEALAND,Jackal,0.29,
Malta,Chamois,0.64,
Morocco,Wren,0.16,
Missouri,Beaver,0.615,
MARSHALL_ISLANDS,Mallard,0.41,
Guatemala,Ram,0.31,
Illinois,Ostrich,0.635,
Slovenia,Gorilla,0.46,
Nebraska,Badger,0.49,
Sweden,Pinniped,0.84,
Uganda,Louse,0.07,
Spain,Flamingo,0.435,
Minnesota,Cormorant,0.19,
Tennessee,Wombat,0.545,
Tonga,Human,0.85,
Maine,Moose,0.465,
Finland,Gazelle,0.24,
Alabama,Alligator,0.095,
Arizona,Quail,0.23,
Mississippi,Giant_Panda,0.775,
EQUATORIAL_GUINEA,Ram,0.9,
Ecuador,Louse,0.3,
Guatemala,Goldfinch,0.41,
Finland,Jackal,0.925,
Finland,Heron,0.975,
Arizona,Jaguar,0.39,
Nebraska,Pelican,0.59,
Wyoming,Flamingo,0.97,
Malawi,Donkey,0.095,
Ireland,Moose,0.555,
Uganda,Hornet,0.595,
Tonga,Zebra,0.595,
CZECH_REPUBLIC,Baboon,0.77,
EQUATORIAL_GUINEA,Beaver,0.785,
Vatican_City,Fox,0.065,
CZECH_REPUBLIC,Cheetah,0.255,
Maine,Giraffe,0.925,
Sweden,Donkey,0.535,
California,Zebra,0.385,
Sudan,Columbidae,0.775,
Guatemala,Raven,0.675,
Arizona,Magpie,0.125,
Tennessee,Mouse,0.78,
Zimbabwe,Zebra,0.875,
Ukraine,Ram,0.595,
Alabama,Mouse,0.415,
NEW_ZEALAND,Columbidae,0.76,
Latvia,Magpie,0.96,
Oregon,Louse,0.33,
Zambia,Dolphin,0.45,
Vatican_City,Columbidae,0.77,
Switzerland,Skunk,0.295,
EQUATORIAL_GUINEA,Flamingo,0.175,
Maryland,Gerbil,0.48,
Maine,Quail,0.52,
Alaska,Dolphin,0.01,
Singapore,Columbidae,0.73,
Rhode_Island,Hornet,0.145,
Malawi,Ram,0.13,
Arizona,Bison,0.25,
Turkey,Cobra,0.535,
Mozambique,Fox,0.175,
Serbia,Cormorant,0.53,
DOMINICAN_REPUBLIC,Partridge,0.73,
Ethiopia,Bison,0.055,
Luxembourg,Alligator,0.175,
Madagascar,Snipe,0.9,
Uganda,Wren,0.585,
Sudan,Crow,0.945,
Massachusetts,Alligator,0.06,
Tennessee,Dolphin,0.53,
Latvia,Hornet,0.895,
WESTERN_SAHARA,Otter,0.6,
Nebraska,Badger,0.63,
Denmark,Fish,0.715,
Samoa,Partridge,0.095,
Uzbekistan,Snipe,0.71,
Cyprus,Otter,0.105,
Maryland,Giant_Panda,0.74,
Oregon,Swallow,0.795,
COSTA_RICA,Lion,0.75,
Serbia,Chamois,0.105,
Saudi_Arabia,Moose,0.41,
Malaysia,Pinniped,0.405,
New_Jersey,Manatee,0.355,
Alaska,Hamster,0.89,
Ukraine,Mouse,0.81,
NEW_ZEALAND,Coyote,0.28,
Oregon,Ram,0.945,
California,Otter,0.735,
TRINIDAD_AND_TOBAGO,Quail,0.655,
Singapore,Giraffe,0.99,
Romania,Crow,0.355,
Finland,Camel,0.565,
Samoa,Partridge,0.545,
Namibia,Raven,0.015,
Romania,Coyote,0.495,
Dominica,Cormorant,0.14,
EQUATORIAL_GUINEA,Lion,0.13,
Tuvalu,Magpie,0.18,
Malta,Cobra,0,
Ireland,Gazelle,0.07,
Ecuador,Peafowl,0.645,
Maryland,Cheetah,0.735,
Sweden,Hyena,0.335,
Saudi_Arabia,Hornet,0.425,
Lithuania,Bison,0.255,
Namibia,Hornet,0.635,
Barbados,Alligator,0.81,
NEW_ZEALAND,Pelican,0.72,
Michigan,Raven,0.49,
Nebraska,Human,0.52,
Uzbekistan,Partridge,0.92,
Taiwan,Coyote,0.235,
Arizona,Giant_Panda,1,
Georgia,Lion,0.725,
TRINIDAD_AND_TOBAGO,Jackal,0.31,
Pennsylvania,Goldfinch,0.635,
Spain,Baboon,0.97,
Sweden,Skunk,0.7,
Kiribati,Pinniped,0.74,
Malaysia,Nightingale,0.175,
Vatican_City,Giant_Panda,0.15,
Sweden,Otter,0.57,
Barbados,Peafowl,0.04,
Dominica,Coyote,0.52,
California,Goose,0.125,
Michigan,Hamster,0.02,
EL_SALVADOR,Fish,0.435,
Australia,Flamingo,0.005,
Canada,Manatee,0.3,
Texas,Human,0.355,
Pennsylvania,Bison,0.065,
Morocco,Swallow,0.85,
Pennsylvania,Lion,0.44,
Canada,Badger,0.045,
Sweden,Zebra,0.04,
Japan,Swallow,0.235,
Malta,Wren,0.965,
Slovenia,Lion,0.005,
Samoa,Baboon,0.825,
Wisconsin,Snipe,0.89,
Ethiopia,Human,0.285,
EL_SALVADOR,Reindeer,0.47,
WESTERN_SAHARA,Rhinoceros,0.79,
Alabama,Human,0.245,
Denmark,Reindeer,0.165,
New_Jersey,Ram,0.195,
Spain,Jackal,0.715,
Illinois,Jackal,0.105,
Guatemala,Fox,0.615,
Maine,Reindeer,0.425,
Ecuador,Baboon,0.165,
Washington,Pinniped,0.77,
Sweden,Goose,0.535,
Thailand,Otter,0.64,
Greece,Sheep,0.995,
Samoa,Fish,0.84,
Hawaii,Human,0.135,
Thailand,Columbidae,0.715,
TRINIDAD_AND_TOBAGO,Mouse,0.675,
CZECH_REPUBLIC,Columbidae,0.16,
TRINIDAD_AND_TOBAGO,Otter,0.485,
Sudan,Pinniped,0.885,
Sweden,Quail,0.06,
Tanzania,Beaver,0.395,
Florida,Black_panther,0.98,
TRINIDAD_AND_TOBAGO,Chamois,0.64,
Georgia,Sheep,0.71,
Saudi_Arabia,Badger,0.485,
EQUATORIAL_GUINEA,Jackal,0.995,
Dominica,Giant_Panda,0.905,
Texas,Crow,0.79,
Slovakia,Goose,0.66,
EL_SALVADOR,Skunk,0.845,
Ethiopia,Goldfinch,0.9,
NEW_ZEALAND,Lion,0.13,
Nebraska,Pelican,0.505,
Malta,Goldfinch,0.155,
Ireland,Cormorant,0.055,
Thailand,Hyena,0.745,
New_Jersey,Pelican,0.715,
Mozambique,Quail,0.49,
Slovenia,Baboon,0.67,
Michigan,Partridge,0.095,
Maine,Dolphin,0.41,
Hawaii,Donkey,0.03,
Monaco,Gazelle,0.84,
Rhode_Island,Sheep,0.595,
Mozambique,Jackal,0.565,
Thailand,Pelican,0.475,
Malaysia,Coyote,0.315,
Nebraska,Snipe,0.715,
Wyoming,Cheetah,0.83,
Missouri,Beaver,0.535,
Barbados,Sheep,0.56,
Croatia,Heron,0.15,
Spain,Crow,0.205,
Malawi,Zebra,0.405,
Greece,Fox,0.165,
Japan,Giant_Panda,0.72,
Serbia,Zebra,0.03,
Wisconsin,Giraffe,0.39,
North_Carolina,Giant_Panda,0.385,
Cyprus,Quail,0.705,
Oregon,Mallard,0.115,
Missouri,Cobra,0.52,
Japan,Badger,0.53,
Denmark,Cheetah,0.63,
Dominica,Heron,0.85,
Luxembourg,Beaver,0.865,
Finland,Camel,0.525,
Maryland,Human,0.945,
Arizona,Peafowl,0.89,
New_Mexico,Peafowl,0.305,
