A,B,score
Louisiana,Skunk,0.19
NEW_ZEALAND,Jackal,0.98
Uruguay,Badger,0.48
Massachusetts,Raven,0.195
Cyprus,Giant_Panda,0.775
Luxembourg,Rhinoceros,0.635
Ethiopia,Hornet,0.92
Colombia,Louse,0.57
Zambia,Hyena,0.605
Virginia,Moose,0.25
Nepal,Peafowl,0.89
Alaska,Flamingo,0.83
Finland,Ram,0.985
Latvia,Reindeer,0.83
Arizona,Pelican,0.245
Romania,Hyena,0.185
Louisiana,Giraffe,0.47
DOMINICAN_REPUBLIC,Quail,0.335
Thailand,Heron,0.76
Cyprus,Fox,0.09
Ethiopia,Partridge,0.95
Missouri,Columbidae,0.97
Denmark,Camel,0.87
Maryland,Columbidae,0.9
Oregon,Fox,0.725
Minnesota,Raven,0.075
Uganda,Black_panther,0.41
Romania,Pinniped,0.8
New_Mexico,Louse,0.98
New_Jersey,Human,0.495
Cyprus,Quail,0.79
Uruguay,Jaguar,0.38
Cyprus,Bison,0.2
Samoa,Ram,0.385
Netherlands,Beaver,0.585
Grenada,Wombat,0.525
Mozambique,Gorilla,0.67
Louisiana,Skunk,0.36
Latvia,Heron,0.045
Guatemala,Cheetah,0.335
Zimbabwe,Dolphin,0.51
California,Louse,0.29
Saudi_Arabia,Ostrich,0.475
Slovakia,Moose,0.275
Wyoming,Crow,0.09
Uganda,Hornet,0.04
Oregon,Flamingo,0.14
Australia,Goose,0.565
Tanzania,Bison,0.71
Washington,Cobra,0.67
Slovenia,Manatee,0.365
Morocco,Gorilla,0.995
Saudi_Arabia,Nightingale,0.26
Romania,Wombat,0.825
Romania,Swallow,0.99
Spain,Human,0.585
Mississippi,Flamingo,0.39
Uruguay,Fox,0.545
Hawaii,Black_panther,0.79
North_Carolina,Goldfinch,0.695
Uganda,Gorilla,0.43
TRINIDAD_AND_TOBAGO,Otter,0.5
Vatican_City,Louse,0.64
Greece,Lion,0.78
Tunisia,Wren,0.155
Ukraine,Human,0.59
Arizona,Dolphin,0.22
MARSHALL_ISLANDS,Lion,0.07
Slovenia,Mouse,0.055
South_Carolina,Beaver,0.035
France,Pelican,0.575
Malaysia,Hornet,0
Hawaii,Cobra,0.065
Maine,Human,0.075
Ecuador,Fox,0.495
Tunisia,Manatee,0.265
Australia,Goose,0.015
Singapore,Partridge,0.21
Washington,Nightingale,0.26
Ethiopia,Beaver,0.49
Washington,Mouse,0.925
MARSHALL_ISLANDS,Dolphin,0.255
South_Carolina,Peafowl,0.485
Saudi_Arabia,Hamster,0.07
Sweden,Gerbil,0.625
Lithuania,Reindeer,0.385
Slovenia,Goldfinch,0.54
New_Mexico,Gerbil,0.045
Switzerland,Gazelle,0.785
Illinois,Cheetah,0.585
Luxembourg,Cobra,0.14
Latvia,Heron,0.64
TRINIDAD_AND_TOBAGO,Dolphin,0.05
Ethiopia,Hornet,0.605
Kiribati,Fish,0.045
Malaysia,Pelican,0.98
Switzerland,Pinniped,0.75
Hawaii,Hyena,0.575
Washington,Ostrich,0.885
Wyoming,Pelican,0.245
TRINIDAD_AND_TOBAGO,Lion,0.79
Tunisia,Manatee,0.26
Illinois,Pinniped,0.735
EL_SALVADOR,Donkey,0.37
NEW_ZEALAND,Snipe,0.76
Greece,Mallard,0.42
Slovakia,Sheep,0.49
North_Carolina,Camel,0.83
Ukraine,Human,0.04
Zimbabwe,Ostrich,0.51
Ecuador,Fox,0.67
Lithuania,Giraffe,0.065
Japan,Gorilla,0.815
Netherlands,Cheetah,0.58
Namibia,Rhinoceros,0.11
Tuvalu,Alligator,0.79
Tennessee,Rhinoceros,0.67
Mississippi,Black_panther,0.675
Finland,Hamster,0.76
Morocco,Manatee,0.325
Spain,Giraffe,0.955
EL_SALVADOR,Gorilla,0.62
Uzbekistan,Pinniped,0.535
MARSHALL_ISLANDS,Baboon,0
Zambia,Cobra,0.495
Nigeria,Badger,0.1
DOMINICAN_REPUBLIC,Giant_Panda,0.265
Pennsylvania,Black_panther,0.515
Nepal,Pinniped,0.82
Slovenia,Chamois,0.565
Maryland,Reindeer,0.02
South_Carolina,Fish,0.79
MARSHALL_ISLANDS,Flamingo,0.86
Saudi_Arabia,Mouse,0.25
Nebraska,Hornet,0.47
Spain,Pinniped,0.195
Croatia,Dolphin,0.24
Alaska,Goose,0.295
Ecuador,Snipe,0.81
Louisiana,Cheetah,0.07
WESTERN_SAHARA,Heron,0.485
Florida,Mule,0.33
Zambia,Baboon,0.9
Canada,Skunk,0.415
Massachusetts,Wren,0.11
Tuvalu,Hamster,0.08
Turkey,Flamingo,0.405
COSTA_RICA,Cormorant,0.375
Samoa,Reindeer,0.5
Maine,Snipe,0.895
Tanzania,Dolphin,0.345
Canada,Zebra,0.655
Ecuador,Hornet,0.66
Minnesota,Nightingale,0.055
Washington,Heron,0.095
Tonga,Hornet,0.73
Ethiopia,Pinniped,0.455
Tanzania,Ram,0.45
Cyprus,Swallow,0.68
Minnesota,Ostrich,0.58
Spain,Fish,0.54
Ukraine,Goldfinch,0.81
Grenada,Crow,0.225
Wisconsin,Bison,0.23
Ethiopia,Pinniped,0.755
Ukraine,Giraffe,0.89
Maryland,Columbidae,0.565
Wyoming,Mouse,0.105
Malawi,Gorilla,0.41
Virginia,Baboon,0.28
Taiwan,Moose,0.1
Sweden,Fish,0.595
Nauru,Cobra,0.4
DOMINICAN_REPUBLIC,Peafowl,0.11
Greece,Cormorant,0.55
Malaysia,Giant_Panda,0.86
Netherlands,Louse,0.835
Morocco,Magpie,0.31
Oregon,Beaver,0.875
Canada,Hyena,0.11
Tuvalu,Pinniped,0.58
Massachusetts,Mallard,0.585
Sweden,Alligator,0.59
Oregon,Snipe,0.615
Malawi,Goldfinch,0.935
Turkey,Mule,0.39
Kiribati,Jaguar,0.6
Cyprus,Crow,0.23
Canada,Wombat,0.48
Dominica,Columbidae,0.515
EL_SALVADOR,Camel,0.15
Wisconsin,Peafowl,0.48
Washington,Camel,0.95
Guatemala,Zebra,0.985
Sudan,Goldfinch,0.27
Taiwan,Swallow,0.025
Louisiana,Cormorant,0.355
Colombia,Bison,0.535
Guatemala,Alligator,0.72
Grenada,Quail,0.16
Zimbabwe,Human,0.36
Washington,Reindeer,0.79
Wisconsin,Dolphin,0.79
France,Chamois,0.105
Finland,Cheetah,0.79
Thailand,Giant_Panda,0.525
Taiwan,Pelican,0.205
Alabama,Gerbil,0.705
EQUATORIAL_GUINEA,Cobra,0.175
Sweden,Jackal,0.97
Samoa,Rhinoceros,0.615
Arizona,Snipe,0.69
Tunisia,Goose,0.32
Massachusetts,Bison,0.775
Arizona,Swallow,0.895
TRINIDAD_AND_TOBAGO,Snipe,0.575
Sweden,Cheetah,0.305
Alaska,Gerbil,0.145
Madagascar,Rhinoceros,0.065
New_Mexico,Cheetah,0.49
Netherlands,Ram,0.925
Switzerland,Partridge,0.165
Slovenia,Donkey,0.2
Florida,Sheep,0.41
CZECH_REPUBLIC,Beaver,0.35
EL_SALVADOR,Snipe,0.505
Madagascar,Cobra,0.46
Namibia,Fish,0.8
Croatia,Pinniped,0.88
Washington,Jackal,0.905
Serbia,Hornet,0.87
Serbia,Sheep,0.555
California,Baboon,0.58
Alabama,Donkey,0.895
Virginia,Reindeer,0.62
DOMINICAN_REPUBLIC,Otter,0.985
Thailand,Heron,0.725
Zambia,Donkey,0.355
Wisconsin,Gorilla,0.335
Wisconsin,Jackal,0.515
Ghana,Manatee,0.385
Colombia,Mule,0.75
Tuvalu,Cheetah,0.66
Texas,Jackal,0.31
Romania,Nightingale,0
CZECH_REPUBLIC,Zebra,0.31
COSTA_RICA,Mule,0.66
Nebraska,Peafowl,0.73
Singapore,Chamois,0.8
Tuvalu,Wren,0.62
Lithuania,Sheep,0.435
Ghana,Cobra,0.19
Dominica,Hamster,0.64
Colombia,Giraffe,0.585
Madagascar,Wombat,0.525
Maryland,Wren,0.77
Canada,Mouse,0.395
Greece,Baboon,0.265
Ghana,Camel,0.23
NEW_ZEALAND,Jaguar,0.305
COSTA_RICA,Beaver,0.005
Washington,Crow,0.56
EL_SALVADOR,Snipe,0.43
Tunisia,Hamster,0.525
Uruguay,Louse,0.275
Morocco,Bison,0.195
Georgia,Mule,0.165
Maryland,Crow,0.45
Morocco,Ram,0.54
Uruguay,Nightingale,0.025
New_Mexico,Gorilla,0.365
Zambia,Pinniped,0.115
Denmark,Hornet,0.27
Hawaii,Lion,0.79
Ecuador,Alligator,0.195
Monaco,Gazelle,0.29
Arizona,Badger,0.585
Washington,Cobra,0.645
Kiribati,Beaver,0.83
Alaska,Donkey,0.07
Malta,Snipe,0.465
Saudi_Arabia,Mule,0.56
Nauru,Jaguar,0.325
Madagascar,Wombat,0.94
Canada,Wren,0.745
Turkey,Dolphin,0.49
TRINIDAD_AND_TOBAGO,Zebra,0.57
Greece,Goose,0.265
WESTERN_SAHARA,Moose,0.8
Sweden,Raven,0.285
Saudi_Arabia,Mallard,0.425
France,Fish,0.06
Ethiopia,Gazelle,0.19
Netherlands,Gerbil,0.69
New_Jersey,Mouse,0.885
Kiribati,Wren,0.59
Louisiana,Chamois,0.65
EQUATORIAL_GUINEA,Giraffe,0.54
Washington,Pelican,0.76
Zambia,Pelican,0.9
Jordan,Mallard,0.6
Maryland,Manatee,0.85
Kiribati,Jaguar,0.285
New_Mexico,Camel,0.65
Malawi,Zebra,0.315
Wyoming,Badger,0.655
Turkey,Mouse,0.765
Saudi_Arabia,Partridge,0.615
Ireland,Zebra,0.49
Tonga,Giant_Panda,0.64
South_Carolina,Sheep,0.92
Vatican_City,Jaguar,0.69
Thailand,Giraffe,0.56
Denmark,Skunk,0.015
Georgia,Mallard,0.875
Croatia,Manatee,0.545
Nebraska,Jaguar,0.305
Canada,Black_panther,0.725
Australia,Baboon,0.725
Saudi_Arabia,Beaver,0.855
Jordan,Hyena,0.745
Japan,Baboon,0.04
Uganda,Rhinoceros,0.57
Zambia,Louse,0.59
Tennessee,Coyote,0.48
